,Installed equipment cost,Cooling duty,Heating duty,Electricity consumption,Material cost
cultivation and harvesting,1.6553898006364123,16.120553902930318,0.0,42.791624659802665,0.0029599167072082706
pretreatment and hydrolysis,7.484455654279517,0.0,0.0,2.4852396719218994,25.164694683991932
fermentation,8.770015442539467,61.561755719239386,94.976478426928,9.031391037938322,47.354749279942496
separation and purification,18.98212843911819,11.834438172598452,0.0,1.189318423458819,22.36861749688172
waste treatment and biogas,5.849709150900222,4.2631320675697575,5.023521573072004,1.4196734509338023,0.5626831846248314
storage,14.118612356126198,0.0,0.0,0.37813657550816143,0.0
boiler & turbogenerator,43.139689156399996,6.220120137662098,1.1190328512658567e-15,42.70461618043631,4.546295437851825
